	Contents	Links
0	"10 công cụ AI giúp tăng tốc độ học của bạn 🔥🔥🔥
Link to pdf: https://drive.google.com/file/d/1aEufWbndVY7qP9x8iHk6QAcpvSjK0KBb/view?usp=sharing
#ai_tools"	https://mbasic.facebook.com/groups/dsmlvietnam/permalink/346222411491220/?refid=18&_ft_=qid.-2834177998845569594%3Amf_story_key.346222411491220%3Atop_level_post_id.346222411491220%3Atl_objid.346222411491220%3Acontent_owner_id_new.100032574519276%3Apage_id.119051214634221%3Asrc.22%3Aphoto_attachments_list.%5B1012136553215486%2C1012136549882153%2C1012136546548820%2C1012136673215474%2C1012136683215473%5D%3Aphoto_id.1012136553215486%3Astory_location.6%3Astory_attachment_style.album%3Afilter.GroupStoriesByActivityEntQuery%3Aott.ottAX-oYcCaIAn8WIU8%3Asty.308%3Aent_attachement_type.PhotoSetAttachment%3Apage_insights.%7B%22100032574519276%22%3A%7B%22page_id%22%3A100032574519276%2C%22page_id_type%22%3A%22page%22%2C%22actor_id%22%3A100032574519276%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntGroupMallPostCreationStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A657%2C%22publish_time%22%3A1703583653%2C%22story_name%22%3A%22EntGroupMallPostCreationStory%22%2C%22story_fbid%22%3A%5B346222411491220%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A6%2C%22targets%22%3A%5B%7B%22actor_id%22%3A100032574519276%2C%22page_id%22%3A100032574519276%2C%22post_id%22%3A346222411491220%2C%22role%22%3A1%2C%22share_id%22%3A0%7D%5D%7D%2C%22281424481304347%22%3A%7B%22page_id%22%3A281424481304347%2C%22page_id_type%22%3A%22group%22%2C%22actor_id%22%3A100032574519276%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntGroupMallPostCreationStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A657%2C%22publish_time%22%3A1703583653%2C%22story_name%22%3A%22EntGroupMallPostCreationStory%22%2C%22story_fbid%22%3A%5B346222411491220%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A6%7D%7D%3Aactrs.100032574519276%3Atds_flgs.3%3Aftmd_400706.111111l&__tn__=%2AW-R&paipv=0&eav=AfbZKu7QpQxQXLEkwrrcSge03Xb9h8cl__RZcPmk8YRA8YDrH6EkY9TYcAoqSMG_XUc
1	"Hi mng, hiện tại e đang 27 tuổi và vì đam mê lập trình nên e đi học ở 1 trung tâm tên là aptech đào tạo mảng web. Sau khoảng hơn 3 năm đi làm h e đang thật sự muốn chuyển hướng sang mảng AI. Em có kinh nghiệm hơn 2 năm về python nhưng lại chưa có kiến thức về toán đc dạy trong đại học. Liệu h e có nên học lại đại học không hay nên tự học sau đó đi làm ạ. Mong các cao nhân trong group chỉ cho e 1 lộ trình để có thể trở thành 1 AI Engineer ạ. Em cảm ơn.
#ml_roadmap #dl_roadmap"	https://mbasic.facebook.com/groups/dsmlvietnam/permalink/343978891715572/?refid=18&_ft_=qid.-2834177998890611322%3Amf_story_key.343978891715572%3Atop_level_post_id.343978891715572%3Atl_objid.343978891715572%3Acontent_owner_id_new.1086214092375626%3Asrc.22%3Astory_location.6%3Afilter.GroupStoriesByActivityEntQuery%3Aott.ottAX9KSdvKvDmhtUnL%3Asty.1379%3Apage_insights.%7B%22281424481304347%22%3A%7B%22page_id%22%3A281424481304347%2C%22page_id_type%22%3A%22group%22%2C%22actor_id%22%3A1086214092375626%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntGroupMallAdminApprovedAnonPostCreationStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A657%2C%22publish_time%22%3A1703268158%2C%22story_name%22%3A%22EntGroupMallAdminApprovedAnonPostCreationStory%22%2C%22story_fbid%22%3A%5B343978891715572%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A6%7D%7D%3Aactrs.1086214092375626%3Atds_flgs.3%3Aftmd_400706.111111l&__tn__=%2AW-R&paipv=0&eav=Afbj2YsYdsYGbp93NxObegqS7dPB6K5D22O3MvsOu48snSNlxqU2PS45yHRxoAphCa0
2	"Em chào mọi người.
Em đang làm tập tành làm bài toán tạo một bài post (có thể đăng trên facebook, website) từ video của youtube. Hiện tại thì em đang thử tạo bằng transcript. Nhưng mà những video dài hay ngắn thì cả GPT hoặc Gemini đều chỉ tạo ra mỗi post dài khoảng 500 - 1000 từ(prompt của em tầm 300-500 từ) nên những video dài sẽ bị thiếu thông tin.
Em muốn hỏi có thầy/cô/anh/chị/bạn nào từng bị vấn đề này chưa và cách giải quyết như thế nào để output mà model nó tạo ra dài hơn ạ.
Em cảm ơn mọi người.
#dl_nlp_study"	https://mbasic.facebook.com/groups/dsmlvietnam/permalink/346105868169541/?refid=18&_ft_=qid.-2834177998887527593%3Amf_story_key.346105868169541%3Atop_level_post_id.346105868169541%3Atl_objid.346105868169541%3Acontent_owner_id_new.212022191868703%3Asrc.22%3Astory_location.6%3Afilter.GroupStoriesByActivityEntQuery%3Aott.ottAX8nFL4_MKnpqNzJ%3Asty.1379%3Apage_insights.%7B%22281424481304347%22%3A%7B%22page_id%22%3A281424481304347%2C%22page_id_type%22%3A%22group%22%2C%22actor_id%22%3A212022191868703%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntGroupMallAdminApprovedAnonPostCreationStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A657%2C%22publish_time%22%3A1703565728%2C%22story_name%22%3A%22EntGroupMallAdminApprovedAnonPostCreationStory%22%2C%22story_fbid%22%3A%5B346105868169541%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A6%7D%7D%3Aactrs.212022191868703%3Atds_flgs.3%3Aftmd_400706.111111l&__tn__=%2AW-R&paipv=0&eav=AfYFGR9ZNGKrPg6y5PAobZNW-w9PTNwbYGQVX2z0yH7n6tlCj3O2QeoVcH3GbXSbBPI
3	"Chào cả nhà, e đang muốn nhúng code python vào camera gắn tường nhưng thấy bảo có thể code trực tiếp trên camera luôn. Cụ thể là mình có 1 con cam gắn 1 góc như ảnh và mình sẽ sử dụng code python để xử lý ảnh ở trong nó luôn mà không cần dùng các phụ kiện khác ạ. Mọi người có ai biết có thể cho e hướng đi hoặc bài viết liên quan được không ạ? E cảm ơn ạ
#python #other #camera"	https://mbasic.facebook.com/groups/dsmlvietnam/permalink/345754548204673/?refid=18&_ft_=qid.-2834177999023548291%3Amf_story_key.345754548204673%3Atop_level_post_id.345754548204673%3Atl_objid.345754548204673%3Acontent_owner_id_new.1152525219495301%3Asrc.22%3Aphoto_id.1152685716145918%3Astory_location.6%3Astory_attachment_style.photo%3Afilter.GroupStoriesByActivityEntQuery%3Aott.ottAX_sDt97QEW8BBLj%3Asty.1379%3Aent_attachement_type.MediaAttachment%3Apage_insights.%7B%22281424481304347%22%3A%7B%22page_id%22%3A281424481304347%2C%22page_id_type%22%3A%22group%22%2C%22actor_id%22%3A1152525219495301%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntGroupMallAdminApprovedAnonPostCreationStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A657%2C%22publish_time%22%3A1703515604%2C%22story_name%22%3A%22EntGroupMallAdminApprovedAnonPostCreationStory%22%2C%22story_fbid%22%3A%5B345754548204673%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A6%7D%7D%3Aactrs.1152525219495301%3Atds_flgs.3%3Aftmd_400706.111111l&__tn__=%2AW-R&paipv=0&eav=AfaAf0HDCfTPoc7ujmd1V7QvUEvs0CjrbTaS-RtPmBnTIePaYgL6vmatj23o6cuhcSI
4	"Em chào mọi người ạ, em đang muốn làm về Building Recomendation System bằng gradio, chỉ cần nó hiện được hình ảnh, tên sản phẩm, comment, đánh giá lên là được ạ, thì mọi người có tài liệu tham khảo về mảng này không cho em xin với ạ, em cảm ơn ạ.
#gradio #Python #RS #mc"	https://mbasic.facebook.com/groups/dsmlvietnam/permalink/345179108262217/?refid=18&_ft_=qid.-2834177998950278002%3Amf_story_key.345179108262217%3Atop_level_post_id.345179108262217%3Atl_objid.345179108262217%3Acontent_owner_id_new.742090853921106%3Asrc.22%3Astory_location.6%3Afilter.GroupStoriesByActivityEntQuery%3Aott.ottAX9YqaSHFyeh_X-n%3Asty.1379%3Apage_insights.%7B%22281424481304347%22%3A%7B%22page_id%22%3A281424481304347%2C%22page_id_type%22%3A%22group%22%2C%22actor_id%22%3A742090853921106%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntGroupMallAdminApprovedAnonPostCreationStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A657%2C%22publish_time%22%3A1703437662%2C%22story_name%22%3A%22EntGroupMallAdminApprovedAnonPostCreationStory%22%2C%22story_fbid%22%3A%5B345179108262217%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A6%7D%7D%3Aactrs.742090853921106%3Atds_flgs.3%3Aftmd_400706.111111l&__tn__=%2AW-R&paipv=0&eav=AfaoUBBFDY4gxyaqt9k1f3ruqX8BXUxbE-mcv6sB8vG7niL-zZPgmghZ0WIwk0SJrSw
5	"Em chào anh Việt, chào các bạn trong group.
Hiện tại em/mình đang làm bài toán sinh mô tả ảnh sử dụng Resnet50 imageNet pretrain và LSTM để sinh mô tả. Em muốn hỏi trong group đã có ai làm chủ đề này với những mô hình CNN cơ bản chưa ạ? Cho em hỏi kết quả ra tốt không ạ vì theo như em tham khảo hầu hết kết quả code có sẵn đều ra những mô tả khá tệ cho ảnh. Dưới đây em đính kèm một vài ví dụ chạy ra cũng như mô hình của em sử dụng.
Một số thông số khác trong lúc em train LSTM: batch_size = 10, epochs = 10, loss cuối = 2.6932, ảnh = 20k, caption tổng 100k. Dictionary = 3002 + 2 từ bắt đầu kết thúc. Câu dài nhất: 48
Em cảm ơn mọi người đã giúp đỡ.
#dl_cv_code"	https://mbasic.facebook.com/groups/dsmlvietnam/permalink/344197951693666/?refid=18&_ft_=qid.-2834177998860558430%3Amf_story_key.344197951693666%3Atop_level_post_id.344197951693666%3Atl_objid.344197951693666%3Acontent_owner_id_new.100006451667434%3Asrc.22%3Aphoto_attachments_list.%5B4390130161211996%2C4390130504545295%2C4390130567878622%2C4390130664545279%5D%3Aphoto_id.4390130161211996%3Astory_location.6%3Astory_attachment_style.album%3Afilter.GroupStoriesByActivityEntQuery%3Aott.ottAX-nnVe7DlnUpV02%3Asty.308%3Aent_attachement_type.PhotoSetAttachment%3Apage_insights.%7B%22281424481304347%22%3A%7B%22page_id%22%3A281424481304347%2C%22page_id_type%22%3A%22group%22%2C%22actor_id%22%3A100006451667434%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntGroupMallPostCreationStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A657%2C%22publish_time%22%3A1703303234%2C%22story_name%22%3A%22EntGroupMallPostCreationStory%22%2C%22story_fbid%22%3A%5B344197951693666%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A6%7D%7D%3Aactrs.100006451667434%3Atds_flgs.3%3Aftmd_400706.111111l&__tn__=%2AW-R&paipv=0&eav=AfY-IGU3BJaXHIyemRPwe9YpvXoihqmfV5nPtwT59Cq9EhYlA6D5G-8BrZA7JUVxKSk
6	"Dive into Python - quyển sách Python đầu tiên mình học 🔥🔥🔥
Có thể với người khác, đây không phải là đầu sách tốt nhất về Python. Nhưng với cá nhân mình, nó là the best 🥰. Đây chính là quyển sách đã đi cùng mình trong suốt những năm tháng đầu tiên mình học về AI/Machine Learning.
Không màu mè hoa lá, thậm chí layout có phần hơi nhàm chán. Tuy nhiên tất cả những gì các bạn cần biết về Python cơ bản đều được giới thiệu ở đây 😎
1 trong số ít các đầu sách mình chia sẻ mà chính mình đã trải nghiệm qua 😍
Link: https://diveintopython3.net/
#py_share"	https://mbasic.facebook.com/groups/dsmlvietnam/permalink/344744848305643/?refid=18&_ft_=qid.-2834177998888557821%3Amf_story_key.344744848305643%3Atop_level_post_id.344744848305643%3Atl_objid.344744848305643%3Acontent_owner_id_new.100032574519276%3Apage_id.119051214634221%3Asrc.22%3Aphoto_id.1010801593348982%3Astory_location.6%3Astory_attachment_style.photo%3Afilter.GroupStoriesByActivityEntQuery%3Aott.ottAX8qvkKY7Oicz2Ec%3Asty.308%3Aent_attachement_type.MediaAttachment%3Apage_insights.%7B%22100032574519276%22%3A%7B%22page_id%22%3A100032574519276%2C%22page_id_type%22%3A%22page%22%2C%22actor_id%22%3A100032574519276%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntGroupMallPostCreationStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A657%2C%22publish_time%22%3A1703380412%2C%22story_name%22%3A%22EntGroupMallPostCreationStory%22%2C%22story_fbid%22%3A%5B344744848305643%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A6%2C%22targets%22%3A%5B%7B%22actor_id%22%3A100032574519276%2C%22page_id%22%3A100032574519276%2C%22post_id%22%3A344744848305643%2C%22role%22%3A1%2C%22share_id%22%3A0%7D%5D%7D%2C%22281424481304347%22%3A%7B%22page_id%22%3A281424481304347%2C%22page_id_type%22%3A%22group%22%2C%22actor_id%22%3A100032574519276%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntGroupMallPostCreationStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A657%2C%22publish_time%22%3A1703380412%2C%22story_name%22%3A%22EntGroupMallPostCreationStory%22%2C%22story_fbid%22%3A%5B344744848305643%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A6%7D%7D%3Aactrs.100032574519276%3Atds_flgs.3%3Aftmd_400706.111111l&__tn__=%2AW-R&paipv=0&eav=AfaANmB0ZJwIGhXBNP8O61by8B3eUrM7wIBLJI2UbCvmLbbhufariynAnD0qf-spqjg
7	"Deep Learning: A visual approach cùng với bonus chapter 🔥🔥🔥
Hi các bạn,
Mình từ trước đến giờ vẫn là fan của cách học tận dụng hình ảnh minh họa để truyền tải ý tưởng. Hôm nay mình xin giới thiệu với các bạn 1 đầu sách như vậy: Deep learning: A visual approach
Tên của cuốn sách đã nói lên tất cả. Rất nhiều hình ảnh được sử dụng xuyên suốt 23 chương giúp người đọc có thể dễ dàng hình dung các khái niệm cũng như thuật toán 😎
Ngoài ra, chúng ta có thêm 1 chương bonus được cung cấp thêm dành riêng cho scikit-learn + keras các bạn nhé 🥰
Main book: https://drive.google.com/file/d/1DDQi4-x9p0GP-SpDJtuTvEKcdHdIHKwc/view?usp=sharing
Bonus chapter: https://drive.google.com/file/d/1BI91Wu9qn2xw3e7lQ64pMQ2l1e7Xd0Xf/view?usp=sharing
#dl_share"	https://mbasic.facebook.com/groups/dsmlvietnam/permalink/338108512302610/?refid=18&_ft_=qid.-2834177380423472781%3Amf_story_key.338108512302610%3Atop_level_post_id.338108512302610%3Atl_objid.338108512302610%3Acontent_owner_id_new.100032574519276%3Apage_id.119051214634221%3Asrc.22%3Aphoto_id.1004777193951422%3Astory_location.6%3Astory_attachment_style.photo%3Afilter.GroupStoriesByActivityEntQuery%3Aott.ottAX8QB5o2WnXSTlAq%3Asty.308%3Aent_attachement_type.MediaAttachment%3Apage_insights.%7B%22100032574519276%22%3A%7B%22page_id%22%3A100032574519276%2C%22page_id_type%22%3A%22page%22%2C%22actor_id%22%3A100032574519276%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntGroupMallPostCreationStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A657%2C%22publish_time%22%3A1702419301%2C%22story_name%22%3A%22EntGroupMallPostCreationStory%22%2C%22story_fbid%22%3A%5B338108512302610%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A6%2C%22targets%22%3A%5B%7B%22actor_id%22%3A100032574519276%2C%22page_id%22%3A100032574519276%2C%22post_id%22%3A338108512302610%2C%22role%22%3A1%2C%22share_id%22%3A0%7D%5D%7D%2C%22281424481304347%22%3A%7B%22page_id%22%3A281424481304347%2C%22page_id_type%22%3A%22group%22%2C%22actor_id%22%3A100032574519276%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntGroupMallPostCreationStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A657%2C%22publish_time%22%3A1702419301%2C%22story_name%22%3A%22EntGroupMallPostCreationStory%22%2C%22story_fbid%22%3A%5B338108512302610%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A6%7D%7D%3Aactrs.100032574519276%3Atds_flgs.3%3Aftmd_400706.111111l&__tn__=%2AW-R&paipv=0&eav=AfYOAHE_3559Nz-RrBFg4M7H-iAfMq_d2vekJXgrsyHA4MmoaZmplleZdpeflqiOrJ0
8	"Toàn bộ các template dành cho CV, SOP, IELTS, TOEFL, TOEIC, GMAT, GRE, ... được chia sẻ bởi Hotspot International Scholarship Forum (HISF) 🔥🔥🔥
Hi các bạn,
Tài liệu mình chia sẻ trong post này thật ra không có fit với group của chúng ta. Tuy nhiên mình vẫn muốn chia sẻ vì ngày xưa khi mình chuẩn bị hồ sơ để du học, mình đã rất mong muốn có 1 nguồn đầy đủ như thế này, và mình tin chắc rằng trong group của chúng ta, có không ít bạn có dự định đi du học trong tương lai hoặc chỉ đơn giản là muốn trang bị cho bản thân 1 chứng chỉ tiếng Anh để phục vụ cho việc học tập và đi làm trong nước😎
Nguồn dưới đây bao gồm toàn bộ các templale dành cho các giấy tờ quan trọng mà các bạn phải chuẩn bị để có 1 bộ hồ sơ hoàn chỉnh (CV, SOP, reference letter, ...) 😎
Ngoài ra, các tài liệu ôn thi các chứng chỉ tiếng Anh cũng được thu thập và chia sẻ 🥰
Mình mong rằng nguồn tài liệu này sẽ giúp ích được cho nhiều bạn trong group 😎
Link to drive: https://drive.google.com/drive/folders/1UVI5yT-5JfMwyHHloxPwkuuPm08L_zBn?usp=drive_link
#share #english #study_abroad"	https://mbasic.facebook.com/groups/dsmlvietnam/permalink/342204908559637/?refid=18&_ft_=qid.-2834177380523604889%3Amf_story_key.342204908559637%3Atop_level_post_id.342204908559637%3Atl_objid.342204908559637%3Acontent_owner_id_new.100032574519276%3Apage_id.119051214634221%3Asrc.22%3Aphoto_id.1008481830247625%3Astory_location.6%3Astory_attachment_style.photo%3Afilter.GroupStoriesByActivityEntQuery%3Aott.ottAX9P11ngyfPEgpQn%3Asty.308%3Aent_attachement_type.MediaAttachment%3Apage_insights.%7B%22100032574519276%22%3A%7B%22page_id%22%3A100032574519276%2C%22page_id_type%22%3A%22page%22%2C%22actor_id%22%3A100032574519276%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntGroupMallPostCreationStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A657%2C%22publish_time%22%3A1703011629%2C%22story_name%22%3A%22EntGroupMallPostCreationStory%22%2C%22story_fbid%22%3A%5B342204908559637%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A6%2C%22targets%22%3A%5B%7B%22actor_id%22%3A100032574519276%2C%22page_id%22%3A100032574519276%2C%22post_id%22%3A342204908559637%2C%22role%22%3A1%2C%22share_id%22%3A0%7D%5D%7D%2C%22281424481304347%22%3A%7B%22page_id%22%3A281424481304347%2C%22page_id_type%22%3A%22group%22%2C%22actor_id%22%3A100032574519276%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntGroupMallPostCreationStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A657%2C%22publish_time%22%3A1703011629%2C%22story_name%22%3A%22EntGroupMallPostCreationStory%22%2C%22story_fbid%22%3A%5B342204908559637%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A6%7D%7D%3Aactrs.100032574519276%3Atds_flgs.3%3Aftmd_400706.111111l&__tn__=%2AW-R&paipv=0&eav=Afb3S4MGgvKykBWgz5Cgao1egnypxV180uZ73d-wS8oO7AKFr6_DW7zPrTX-acKeB6U
9	"Em chào mọi người. Em đang có một project nho nhỏ là dự đoán biến động giá cổ phiếu sử dụng mô hình LSTM ạ. Em đã làm các công đoạn ETL dữ liệu từ package vnstock rồi, và sau vài phân tích cơ bản cũng như tính luôn biến động giá cổ phiếu và tỷ suất sinh lời hằng ngày thì bộ dataframe của em đã được như hình. Mọi người cho em hỏi là em có thể chọn các columns nào trong dataframe này để làm các feature variables ạ? Và nếu như không có cột nào đủ thỏa mãn để làm feature variables thì mọi người có thể gợi ý cho em một số các feature variables khác để thực hiện được không ạ (và nguồn dữ liệu đi kèm với nó ạ)? Em cảm ơn mọi người nhiều ạ.
#dl_study"	https://mbasic.facebook.com/groups/dsmlvietnam/permalink/345762404870554/?refid=18&_ft_=qid.-2834177380393979141%3Amf_story_key.345762404870554%3Atop_level_post_id.345762404870554%3Atl_objid.345762404870554%3Acontent_owner_id_new.100078937223490%3Asrc.22%3Aphoto_id.383638427610728%3Astory_location.6%3Astory_attachment_style.photo%3Afilter.GroupStoriesByActivityEntQuery%3Aott.ottAX8znsJFehMe8oEF%3Asty.308%3Aent_attachement_type.MediaAttachment%3Apage_insights.%7B%22281424481304347%22%3A%7B%22page_id%22%3A281424481304347%2C%22page_id_type%22%3A%22group%22%2C%22actor_id%22%3A100078937223490%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntGroupMallPostCreationStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A657%2C%22publish_time%22%3A1703516285%2C%22story_name%22%3A%22EntGroupMallPostCreationStory%22%2C%22story_fbid%22%3A%5B345762404870554%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A6%7D%7D%3Aactrs.100078937223490%3Atds_flgs.3%3Aftmd_400706.111111l&__tn__=%2AW-R&paipv=0&eav=AfaYHa4Ms8eSSNXsNVQSL40CYCmDKrqTJdxwM03u982lwYJWmH86uxCn4kglZy_D9Nw
