Contents,p_content,old_hastag,Hashtag
"MLOps platform @ Coupang
Trong năm vừa rồi, MLOps platform ở Coupang (một công ty thương mại điện tử của Hàn Quốc) vận hành tới 100k+ workflow runs trên tổng số 600+ ML projects, đồng thời giúp giảm thiểu thời gian deploy models từ nhiều tuần xuống vài ngày.
Coupang cũng sử dụng Seldon Core để serving model trên k8s kết hợp với các pre-packaged servers như TFServing, Triton và custom servers cho các models như sklearn và XGBoost. Điều lạ là mấy sếp này lại không thấy dùng mlserver của Seldon Core 🤣.
Ở phần data preparation, Coupang có sử dụng một format khá lạ (với em) là feather, đầu tiên cứ tưởng ý họ là feathr (một feature store framework) nhưng hoá ra không phải. Format này có thể giúp export nhanh gấp 20 lần, và import nhanh gấp 6 lần so với csv, thường để lưu trữ dữ liệu short term cho các experiments (khác với parquet format export và import chậm hơn, nhưng khả năng nén tốt hơn nên hay dùng để lưu trữ long-term). Ae có thể đọc thêm một số benchmark so với parquet và csv ở đây: https://stackoverflow.com/a/72406099

Link: https://medium.com/coupang-engineering/meet-coupangs-machine-learning-platform-cd00e9ccc172

#platform #k8s","MLOps platform @ Coupang Trong năm vừa rồi, MLOps platform ở Coupang (một công ty thương mại điện tử của Hàn Quốc) vận hành tới 100k+ workflow runs trên tổng số 600+ ML projects, đồng thời giúp giảm thiểu thời gian deploy models từ nhiều tuần xuống vài ngày. Coupang cũng sử dụng Seldon Core để serving model trên k8s kết hợp với các pre-packaged servers như TFServing, Triton và custom servers cho các models như sklearn và XGBoost. Điều lạ là mấy sếp này lại không thấy dùng mlserver của Seldon Core . Ở phần data preparation, Coupang có sử dụng một format khá lạ (với em) là feather, đầu tiên cứ tưởng ý họ là feathr (một feature store framework) nhưng hoá ra không phải. Format này có thể giúp export nhanh gấp 20 lần, và import nhanh gấp 6 lần so với csv, thường để lưu trữ dữ liệu short term cho các experiments (khác với parquet format export và import chậm hơn, nhưng khả năng nén tốt hơn nên hay dùng để lưu trữ long-term). Ae có thể đọc thêm một số benchmark so với parquet và csv ở đây: https://stackoverflow.com/a/72406099 Link: https://medium.com/coupang-engineering/meet-coupangs-machine-learning-platform-cd00e9ccc172",#platform	#k8s,
"🎉🎉🎉SEMINAR #13: GPT Prompt Engineering 🎉🎉🎉
Chào mừng các bạn đến với sự kiện seminar về ""GPT Prompt Engineering: Designing Communication with LLM"". Đây là cơ hội tuyệt vời để tìm hiểu sâu hơn về cách Prompt Engineering với chat GPT và các LLM khác.
Thông tin của seminar các bạn xem ở Fanpage MLOpsVn nhé :)","SEMINAR GPT Prompt Engineering Chào mừng các bạn đến với sự kiện seminar về ""GPT Prompt Engineering: Designing Communication with LLM"". Đây là cơ hội tuyệt vời để tìm hiểu sâu hơn về cách Prompt Engineering với chat GPT và các LLM khác. Thông tin của seminar các bạn xem ở Fanpage MLOpsVn nhé :)",#13:,
"SEMINAR #13: GPT PROMPT ENGINEERING 

Chủ đề rất hot về ứng dụng LLM, cách để giảm hallucination và tối ưu các LLM, nhanh tay đăng ký để giao lưu cùng diễn giả MoMo vào 8h tối mai nào ae ⏰.

#momo #llm #hieungo #optimization","SEMINAR GPT PROMPT ENGINEERING Chủ đề rất hot về ứng dụng LLM, cách để giảm hallucination và tối ưu các LLM, nhanh tay đăng ký để giao lưu cùng diễn giả MoMo vào 8h tối mai nào ae ⏰.",#13:	#momo	#llm	#hieungo	#optimization,
"The architecture of an ML Platform with Resource Sharing on Kubernetes
Một video khá hay để cả nhà đọc chơi mùa giáng sinh. 

Tóm tắt là mấy ông trong video sử dụng 1 tool tên là Kueue (https://kueue.sigs.k8s.io/docs/overview/) để các team trong công ty có thể chia nhau dùng chung các node pool trong cluster (được định nghĩa bởi ResourceFlavor object, có thể là cụm node pool NVIDIA L4 hoặc A100, reserved, on-demand hoặc spot). Hai (hoặc nhiều) team muốn chia sẻ node pool được gọi là thuộc cùng 1 cohort (kiểu như 2 team chơi thân với nhau thì mới đồng ý chia sẻ tài nguyên). Mỗi team trong cohort này có thể định nghĩa muốn dùng những node pool nào, cụ thể bao nhiêu CPU và RAM, thứ tự ưu tiên các node pool (ví dụ reserved trước xong tới spot), mượn tối đa bao nhiêu CPU và RAM từ team chung cohort, thì sẽ định nghĩa thông qua ClusterQueue object. 

Kueue cũng cho phép định nghĩa Job nào sẽ được ưu tiên hơn trong cluster có tài nguyên hữu hạn giúp cho việc Job Management dễ dàng hơn rất nhiều.

Còn rất nhiều thứ hay ho khác, mọi người có thể xem ở video dưới đây hoặc ở trang Documentation của Kueue 👀. À mà Kueue có thể tích hợp với Kubeflow Training Job (ví dụ TFJob), và RayJob nhé ae.

https://www.youtube.com/watch?v=HA9yt_-RQe8

#kueue #optimization #kubeflow #ray","The architecture of an ML Platform with Resource Sharing on Kubernetes Một video khá hay để cả nhà đọc chơi mùa giáng sinh. Tóm tắt là mấy ông trong video sử dụng 1 tool tên là Kueue (https://kueue.sigs.k8s.io/docs/overview/) để các team trong công ty có thể chia nhau dùng chung các node pool trong cluster (được định nghĩa bởi ResourceFlavor object, có thể là cụm node pool NVIDIA L4 hoặc A100, reserved, on-demand hoặc spot). Hai (hoặc nhiều) team muốn chia sẻ node pool được gọi là thuộc cùng 1 cohort (kiểu như 2 team chơi thân với nhau thì mới đồng ý chia sẻ tài nguyên). Mỗi team trong cohort này có thể định nghĩa muốn dùng những node pool nào, cụ thể bao nhiêu CPU và RAM, thứ tự ưu tiên các node pool (ví dụ reserved trước xong tới spot), mượn tối đa bao nhiêu CPU và RAM từ team chung cohort, thì sẽ định nghĩa thông qua ClusterQueue object. Kueue cũng cho phép định nghĩa Job nào sẽ được ưu tiên hơn trong cluster có tài nguyên hữu hạn giúp cho việc Job Management dễ dàng hơn rất nhiều. Còn rất nhiều thứ hay ho khác, mọi người có thể xem ở video dưới đây hoặc ở trang Documentation của Kueue . À mà Kueue có thể tích hợp với Kubeflow Training Job (ví dụ TFJob), và RayJob nhé ae. https://www.youtube.com/watch?v=HA9yt_-RQe8",#kueue	#optimization	#kubeflow	#ray,
Em có ý định tham gia khoá học này. Mng cho em hỏi có ai cũng có nhu cầu đăng kí học và ghép nhóm với em để dc discount ko ạ 🥹,Em có ý định tham gia khoá học này. Mng cho em hỏi có ai cũng có nhu cầu đăng kí học và ghép nhóm với em để dc discount ko ạ,,
"Xin chào mọi người. Em đang thấy có khoá mlops free vừa mới ra lại nên đang cần tìm người học cùng, trao đổi cho đỡ bỡ ngỡ ạ. Có ai đang có ý định học cùng thì chấm xuống dưới để em lập nhóm nha. Cảm ơn mọi người.","Xin chào mọi người. Em đang thấy có khoá mlops free vừa mới ra lại nên đang cần tìm người học cùng, trao đổi cho đỡ bỡ ngỡ ạ. Có ai đang có ý định học cùng thì chấm xuống dưới để em lập nhóm nha. Cảm ơn mọi người.",,
"Hi cả nhà mình!
Vậy là đã tròn 1 năm trôi qua kể từ khi khóa học MLOps Crash Course ra mắt cộng đồng từ 12/12/2022, với gần 2000 bạn đăng ký, team MLOpsVN cảm thấy thực sự tự hào vì đã giúp đỡ ít nhiều được các bạn và đóng góp vào sự phát triển chung của AI/ML tại Việt Nam, đặc biệt là khi chứng kiến các đội áp dụng MLOps vào cuộc thi MLOps Marathon 2023 diễn ra từ tháng 4 tới tháng 9 vừa qua.
Để tiếp tục thúc đẩy sự học trong lĩnh vực này, ngoài các hoạt động seminars tới từ các diễn giả khách mời vippro, team MLOpsVN quyết định host khóa học MLOps Crash Course online tại https://courses.mlops.vn/mlops-crash-course/index.html. Các bạn từ giờ có thể đọc online mọi lúc mọi nơi và gửi link cho các vippro khác trong ngành.
Như đã biết, trong quá trình học MLOps Crash Course, các bạn sẽ được thực hành để xây dựng 1 on-premise MLOps Platform trên máy của các bạn. Thêm nữa, với Github Repo MLOps Infrastructure được cấu trúc gọn gàng và hoàn chỉnh để triển khai MLOps platform, các bạn có thể tham khảo để sử dụng trong việc triển khai MLOps platform tại tổ chức nơi các bạn làm việc, ví dụ trên Kubernetes.
Links:
MLOps Crash Course: https://courses.mlops.vn/mlops-crash-course/index.html
Application repo: https://github.com/MLOpsVN/mlops-crash-course-code
Infrastructure repo: https://github.com/MLOpsVN/mlops-crash-course-platform
Cảm ơn cả nhà và chúc mọi người may mắn 🍀 ","Hi cả nhà mình! Vậy là đã tròn 1 năm trôi qua kể từ khi khóa học MLOps Crash Course ra mắt cộng đồng từ 12/12/2022, với gần 2000 bạn đăng ký, team MLOpsVN cảm thấy thực sự tự hào vì đã giúp đỡ ít nhiều được các bạn và đóng góp vào sự phát triển chung của AI/ML tại Việt Nam, đặc biệt là khi chứng kiến các đội áp dụng MLOps vào cuộc thi MLOps Marathon 2023 diễn ra từ tháng 4 tới tháng 9 vừa qua. Để tiếp tục thúc đẩy sự học trong lĩnh vực này, ngoài các hoạt động seminars tới từ các diễn giả khách mời vippro, team MLOpsVN quyết định host khóa học MLOps Crash Course online tại https://courses.mlops.vn/mlops-crash-course/index.html. Các bạn từ giờ có thể đọc online mọi lúc mọi nơi và gửi link cho các vippro khác trong ngành. Như đã biết, trong quá trình học MLOps Crash Course, các bạn sẽ được thực hành để xây dựng 1 on-premise MLOps Platform trên máy của các bạn. Thêm nữa, với Github Repo MLOps Infrastructure được cấu trúc gọn gàng và hoàn chỉnh để triển khai MLOps platform, các bạn có thể tham khảo để sử dụng trong việc triển khai MLOps platform tại tổ chức nơi các bạn làm việc, ví dụ trên Kubernetes. Links: MLOps Crash Course: https://courses.mlops.vn/mlops-crash-course/index.html Application repo: https://github.com/MLOpsVN/mlops-crash-course-code Infrastructure repo: https://github.com/MLOpsVN/mlops-crash-course-platform Cảm ơn cả nhà và chúc mọi người may mắn",,
"Xin chào mọi người. Hiện nay em đang cần deploy một con AI lên môi trường production tuy nhiên hiện tại với kiến thức của em chỉ có thể deploy 1 microservice docker container: sử dụng Fast API + torchserve; riêng ở phần torchserve em đã scale bằng cách tạo nhiều worker cho model tuy nhiên số lượng request handle trong 1s không đủ để đáp ứng production. Sau quá trình tìm hiểu em có biết được 1 số cách sau để có thể scale server AI.

Tạo ra nhiều container == nhiều server khác nhau, sau đó sử dụng nginx để load balance các request vào các server để handle được nhiều request hơn.
Sử dụng kubernetes để tạo nhiều pod == container cho server và giúp handle nhiều request hơn (tuy nhiên chỗ này em không biết load balance ntn).

Không biết các cách tiếp cận trên thì em hiểu có đúng k ạ và còn cách nào khác không ạ, và nên chọn cách nào để có thể scale tốt hơn. Em có thấy một câu trả lời về cách scale dùng nginx là khả thi tuy nhiên không productive thì em vẫn không hiểu lắm câu này. Em xin cảm ơn mọi người đã xem câu hỏi ạ.","Xin chào mọi người. Hiện nay em đang cần deploy một con AI lên môi trường production tuy nhiên hiện tại với kiến thức của em chỉ có thể deploy 1 microservice docker container: sử dụng Fast API + torchserve; riêng ở phần torchserve em đã scale bằng cách tạo nhiều worker cho model tuy nhiên số lượng request handle trong 1s không đủ để đáp ứng production. Sau quá trình tìm hiểu em có biết được 1 số cách sau để có thể scale server AI. Tạo ra nhiều container == nhiều server khác nhau, sau đó sử dụng nginx để load balance các request vào các server để handle được nhiều request hơn. Sử dụng kubernetes để tạo nhiều pod == container cho server và giúp handle nhiều request hơn (tuy nhiên chỗ này em không biết load balance ntn). Không biết các cách tiếp cận trên thì em hiểu có đúng k ạ và còn cách nào khác không ạ, và nên chọn cách nào để có thể scale tốt hơn. Em có thấy một câu trả lời về cách scale dùng nginx là khả thi tuy nhiên không productive thì em vẫn không hiểu lắm câu này. Em xin cảm ơn mọi người đã xem câu hỏi ạ.",,
"Cloudflare sẽ migrate ML platform qua Kubeflow 😁, dự là có thêm contributor từ Cloudflare cho Kubeflow rồi các sếp.
#mlops #kubeflow","Cloudflare sẽ migrate ML platform qua Kubeflow , dự là có thêm contributor từ Cloudflare cho Kubeflow rồi các sếp.",#mlops	#kubeflow,
"Hi mọi người,
Em đang làm newbie trong mảng MLOps, DE nên em muốn làm 1 project từ giai đoạn build database, CI/CD từ Github, xây hệ thống ML để deploy luôn thì không biết có nguồn nào từ scratch luôn không ạ?
Hiện thì em cũng có google được một số project có thể áp dụng cơ mà em cũng muốn tham khảo thêm từ những người có kinh nghiệm góp ý.
Em cảm ơn mọi người nhiều ạ.","Hi mọi người, Em đang làm newbie trong mảng MLOps, DE nên em muốn làm 1 project từ giai đoạn build database, CI/CD từ Github, xây hệ thống ML để deploy luôn thì không biết có nguồn nào từ scratch luôn không ạ? Hiện thì em cũng có google được một số project có thể áp dụng cơ mà em cũng muốn tham khảo thêm từ những người có kinh nghiệm góp ý. Em cảm ơn mọi người nhiều ạ.",,
